experiment_name,model_name,model_type,seed,total_epochs,best_epoch,early_stopped,is_complete,val_loss,val_acc,val_prec,val_recall,val_f1,val_auroc,val_auprc,test_loss,test_acc,test_prec,test_recall,test_f1,test_auroc,test_auprc,log_path,checkpoint_path,notes,source_file
PTB-XL-Baseline-s42,Medformer,Baseline,42.0,27,17,True,True,0.91712,0.7377,0.65788,0.61489,0.63168,0.90251,0.68136,0.97434,0.72809,0.64321,0.60064,0.61691,0.89322,0.65752,results\logs\PTB-XL-Baseline-s42.log,checkpoints/classification_PTB-XL-Baseline-s42_Medformer_PTB-XL_ftM_sl96_*_BaselineS42_seed42/,early stop @ ep 26,results\experiments_summary.csv
PTB-XL-Baseline-s43,Medformer,Baseline,43.0,27,15,True,True,0.87794,0.74175,0.66647,0.61438,0.63328,0.90395,0.68402,0.92648,0.73198,0.65396,0.59743,0.61662,0.89667,0.66177,results\logs\PTB-XL-Baseline-s43.log,checkpoints/classification_PTB-XL-Baseline-s43_Medformer_PTB-XL_ftM_sl96_*_BaselineS43_seed43/,early stop @ ep 26,results\experiments_summary.csv
PTB-XL-Baseline-s44,Medformer,Baseline,44.0,26,16,True,True,0.91728,0.74218,0.67302,0.62136,0.64163,0.90219,0.68927,0.9772,0.73102,0.65043,0.59921,0.61896,0.89383,0.65898,results\logs\PTB-XL-Baseline-s44.log,checkpoints/classification_PTB-XL-Baseline-s44_Medformer_PTB-XL_ftM_sl96_*_BaselineS44_seed44/,early stop @ ep 26,results\experiments_summary.csv
PTB-XL-Baseline,Medformer,Baseline,,26,16,True,True,0.91728,0.74218,0.67302,0.62136,0.64163,0.90219,0.68927,0.9772,0.73102,0.65043,0.59921,0.61896,0.89383,0.65898,results\logs\PTB-XL-Baseline.log,checkpoints/classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_*_ServerBaseline_seed??/,seed unknown; itr=1; early stop @ ep 26,results\experiments_summary.csv
PTB-XL-FFT-s42,MedformerFFT,FFT,42.0,28,17,True,True,0.9132,0.74106,0.66439,0.62153,0.63786,0.90338,0.68503,0.97427,0.73077,0.64957,0.60242,0.61874,0.89352,0.65771,results\logs\PTB-XL-FFT-s42.log,checkpoints/classification_PTB-XL-FFT-s42_MedformerFFT_PTB-XL_ftM_sl96_*_FFTS42_seed42/,early stop @ ep 28,results\experiments_summary.csv
PTB-XL-FFT-s43,MedformerFFT,FFT,43.0,28,13,True,True,0.83623,0.74549,0.67736,0.61988,0.64048,0.90615,0.69395,0.88622,0.73262,0.65713,0.59993,0.61931,0.89726,0.66584,results\logs\PTB-XL-FFT-s43.log,checkpoints/classification_PTB-XL-FFT-s43_MedformerFFT_PTB-XL_ftM_sl96_*_FFTS43_seed43/,early stop @ ep 28,results\experiments_summary.csv
PTB-XL-FFT-s44,MedformerFFT,FFT,44.0,28,18,True,True,0.94692,0.7418,0.6673,0.61964,0.63752,0.90361,0.68672,1.00235,0.73272,0.65178,0.60144,0.61823,0.89521,0.66451,results\logs\PTB-XL-FFT-s44.log,checkpoints/classification_PTB-XL-FFT-s44_MedformerFFT_PTB-XL_ftM_sl96_*_FFTS44_seed44/,early stop @ ep 28,results\experiments_summary.csv
PTB-XL-FFT,MedformerFFT,FFT,,18,18,False,False,0.94692,0.7418,0.6673,0.61964,0.63752,0.90361,0.68672,1.00235,0.73272,0.65178,0.60144,0.61823,0.89521,0.66451,results\logs\PTB-XL-FFT.log,checkpoints/classification_PTB-XL-FFT_MedformerFFT_PTB-XL_ftM_sl96_*_ServerFFT_seed??/,seed unknown; itr=1; interrupted @ ep 18,results\experiments_summary.csv
PTB-XL-FrequencyOnly,FrequencyOnly,FFT-only,,63,53,True,True,0.94977,0.6669,0.59421,0.51759,0.53814,0.85166,0.58556,0.97968,0.65461,0.57265,0.49985,0.51892,0.84529,0.56457,results\logs\PTB-XL-FrequencyOnly.log,checkpoints/classification_PTB-XL-FrequencyOnly_FrequencyOnly_PTB-XL_ftM_sl96_*_ServerFreqOnly_seed??/,seed unknown; itr=1; early stop @ ep 63,results\experiments_summary.csv
PTB-XL-Wavelet-s42,MedformerWavelet,Wavelet,42.0,32,22,True,True,1.07761,0.7417,0.66526,0.62121,0.63725,0.89858,0.67628,1.14144,0.72925,0.64201,0.59955,0.61397,0.88946,0.64901,results\logs\PTB-XL-Wavelet-s42.log,checkpoints/classification_PTB-XL-Wavelet-s42_MedformerWavelet_PTB-XL_ftM_sl96_*_WavS42_seed42/,early stop @ ep 32,results\experiments_summary.csv
PTB-XL-Wavelet,MedformerWavelet,Wavelet,,17,15,False,False,0.90922,0.74323,0.66961,0.6184,0.63645,0.9011,0.68106,0.95614,0.7333,0.65124,0.60073,0.6172,0.89277,0.65672,results\logs\PTB-XL-Wavelet.log,checkpoints/classification_PTB-XL-Wavelet_MedformerWavelet_PTB-XL_ftM_sl96_*_ServerWavelet_seed??/,seed unknown; itr=1; interrupted @ ep 17,results\experiments_summary.csv
PTB-XL-WaveletOnly,WaveletOnly,Wavelet-only,,6,6,False,False,0.93609,0.65692,0.55899,0.47451,0.47588,0.83832,0.5515,0.94765,0.6596,0.54283,0.47646,0.47844,0.8291,0.53473,results\logs\PTB-XL-WaveletOnly.log,checkpoints/classification_PTB-XL-WaveletOnly_WaveletOnly_PTB-XL_ftM_sl96_*_ServerWaveletOnly_seed??/,seed unknown; itr=1; incomplete (6 epochs),results\experiments_summary.csv
PTB-XL-DCT,MedformerDCT,DCT,,27,17,True,True,0.97789,0.73651,0.65788,0.61926,0.63419,0.89835,0.67558,1.02098,0.72258,0.63267,0.59665,0.61084,0.89174,0.65125,results\logs\PTB-XL-DCT.log,checkpoints/classification_PTB-XL-DCT_MedformerDCT_PTB-XL_ftM_sl96_*_ServerDCT_seed??/,seed unknown; itr=1; early stop @ ep 27,results\experiments_summary.csv
PTB-XL-DCTOnly,DCTOnly,DCT-only,,81,71,True,True,1.25911,0.66716,0.56723,0.51367,0.52635,0.84186,0.55766,1.30722,0.66078,0.54362,0.50001,0.50983,0.8329,0.54091,results\logs\PTB-XL-DCTOnly.log,checkpoints/classification_PTB-XL-DCTOnly_DCTOnly_PTB-XL_ftM_sl96_*_ServerDCTOnly_seed??/,seed unknown; itr=1; early stop @ ep 81,results\experiments_summary.csv
PTB-XL-Bilinear-s42,MedformerFFT_bilinear,Fusion,42.0,18,8,True,True,0.81709,0.7403,0.67347,0.60833,0.63027,0.90293,0.68206,0.86318,0.72839,0.6542,0.58777,0.60833,0.8942,0.65677,results\logs\PTB-XL-Bilinear-s42.log,checkpoints/classification_PTB-XL-Bilinear-s42_MedformerFFT_bilinear_PTB-XL_ftM_sl96_*_BiS42_seed42/,early stop @ ep 18,results\experiments_summary.csv
PTB-XL-CrossAttnV2-s42,MedformerFFT_crossattn,Fusion,42.0,39,29,True,True,0.95922,0.74035,0.66079,0.61707,0.63327,0.89243,0.67104,1.01498,0.73004,0.64501,0.59707,0.61273,0.88301,0.6457,results\logs\PTB-XL-CrossAttnV2-s42.log,checkpoints/classification_PTB-XL-CrossAttnV2-s42_MedformerFFT_crossattn_PTB-XL_ftM_sl96_*_CrS42_seed42/,early stop @ ep 39,results\experiments_summary.csv
PTB-XL-Bilinear,MedformerFFT_bilinear,Fusion,,18,8,True,True,0.81709,0.7403,0.67347,0.60833,0.63027,0.90293,0.68206,0.86318,0.72839,0.6542,0.58777,0.60833,0.8942,0.65677,results\logs\PTB-XL-Bilinear.log,checkpoints/classification_PTB-XL-Bilinear_MedformerFFT_bilinear_PTB-XL_ftM_sl96_*_ServerBilinear_seed??/,seed unknown; itr=1; early stop @ ep 18,results\experiments_summary.csv
