model_alias,perturbation,strength,Accuracy,F1,AUROC,AUPRC
baseline,gaussian_noise,0.0,0.7310240202275601,0.6189584327200903,0.8938303785613175,0.6589759015004711
baseline,gaussian_noise,0.01,0.7306700379266751,0.6184008275067844,0.893808845066723,0.6589079524844154
baseline,gaussian_noise,0.03,0.7308723135271807,0.6184343457982642,0.893784878542974,0.6588849016820446
baseline,gaussian_noise,0.05,0.7300126422250316,0.6168488584161412,0.8937941017663451,0.6588415804674156
baseline,gaussian_noise,0.1,0.7303919089759797,0.6172437208589516,0.8935213295489239,0.6579353787267859
baseline,time_mask,0.0,0.7310240202275601,0.6189584327200903,0.8938303785613175,0.6589759015004711
baseline,time_mask,0.05,0.7185840707964601,0.6085937395481232,0.8878873652869487,0.6464348883406574
baseline,time_mask,0.1,0.6906447534766119,0.589043632763637,0.8748290820318673,0.6208811828661034
baseline,time_mask,0.2,0.6113274336283185,0.5325608720338448,0.8435380882603966,0.5602534917498272
fft,gaussian_noise,0.0,0.7327180783817951,0.618222178805948,0.8952091994302087,0.6645049587946863
fft,gaussian_noise,0.01,0.7330214917825537,0.6180657526836854,0.8951701956576941,0.664333434368384
fft,gaussian_noise,0.03,0.7333501896333755,0.6155411787747967,0.894788640094818,0.6631762241074004
fft,gaussian_noise,0.05,0.7325410872313527,0.6124828647414818,0.8943116592641509,0.6613571114979748
fft,gaussian_noise,0.1,0.732212389380531,0.6068098529635698,0.8931451973676033,0.6569099808706628
fft,time_mask,0.0,0.7327180783817951,0.618222178805948,0.8952091994302087,0.6645049587946863
fft,time_mask,0.05,0.7219974715549937,0.604903254218987,0.8879023264381857,0.6480947768422001
fft,time_mask,0.1,0.7021238938053097,0.5921499379234682,0.8764415766744176,0.6237746052859945
fft,time_mask,0.2,0.632692793931732,0.5444878276197871,0.8467789703742383,0.5650925992829856
