log,epoch,split,loss,f1,auroc
PTB-XL-Baseline-s42.log,1,train,0.89801,,
PTB-XL-Baseline-s42.log,1,val,0.8316,0.58731,0.88282
PTB-XL-Baseline-s42.log,1,test,0.85581,0.57794,0.87639
PTB-XL-Baseline-s42.log,2,train,0.75533,,
PTB-XL-Baseline-s42.log,2,val,0.78728,0.59994,0.89139
PTB-XL-Baseline-s42.log,2,test,0.81352,0.58528,0.88549
PTB-XL-Baseline-s42.log,3,train,0.70251,,
PTB-XL-Baseline-s42.log,3,val,0.77558,0.61656,0.89473
PTB-XL-Baseline-s42.log,3,test,0.80149,0.60337,0.88938
PTB-XL-Baseline-s42.log,4,train,0.6584,,
PTB-XL-Baseline-s42.log,4,val,0.76854,0.62473,0.89719
PTB-XL-Baseline-s42.log,4,test,0.79508,0.61123,0.89178
PTB-XL-Baseline-s42.log,5,train,0.61606,,
PTB-XL-Baseline-s42.log,5,val,0.76243,0.62681,0.89917
PTB-XL-Baseline-s42.log,5,test,0.78971,0.61505,0.89355
PTB-XL-Baseline-s42.log,6,train,0.56944,,
PTB-XL-Baseline-s42.log,6,val,0.76376,0.63013,0.90072
PTB-XL-Baseline-s42.log,6,test,0.7938,0.61525,0.89478
PTB-XL-Baseline-s42.log,7,train,0.52214,,
PTB-XL-Baseline-s42.log,7,val,0.76603,0.63469,0.90193
PTB-XL-Baseline-s42.log,7,test,0.79777,0.61726,0.89579
PTB-XL-Baseline-s42.log,8,train,0.47161,,
PTB-XL-Baseline-s42.log,8,val,0.77442,0.636,0.90241
PTB-XL-Baseline-s42.log,8,test,0.80829,0.61824,0.89625
PTB-XL-Baseline-s42.log,9,train,0.42207,,
PTB-XL-Baseline-s42.log,9,val,0.78392,0.63745,0.90286
PTB-XL-Baseline-s42.log,9,test,0.82085,0.61929,0.89645
PTB-XL-Baseline-s42.log,10,train,0.37399,,
PTB-XL-Baseline-s42.log,10,val,0.79737,0.63866,0.90298
PTB-XL-Baseline-s42.log,10,test,0.8367,0.61859,0.89637
PTB-XL-Baseline-s42.log,11,train,0.32911,,
