model_alias,model,checkpoint,data,root_path,perturbation,strength,loss,Accuracy,Precision,Recall,F1,AUROC,AUPRC,num_samples
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,gaussian_noise,0.00,1.7632674646377564,0.4675,0.4485691575745099,0.46749999999999997,0.4503666536624838,0.719109375,0.45778940521415895,400
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,gaussian_noise,0.01,1.7635851621627807,0.4675,0.4485691575745099,0.46749999999999997,0.4503666536624838,0.719234375,0.4572743655430562,400
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,gaussian_noise,0.03,1.7628834629058838,0.4675,0.44844885017199676,0.46749999999999997,0.45004104498607217,0.7188046875,0.45778975758710033,400
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,gaussian_noise,0.05,1.7609532928466798,0.4675,0.4492232128867256,0.46749999999999997,0.4508787539519206,0.7193046875,0.4590231459622377,400
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,gaussian_noise,0.10,1.7649228715896605,0.4725,0.45426681391461254,0.47250000000000003,0.4551737627532694,0.7184921875,0.4560677908699661,400
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,time_mask,0.00,1.7632737350463867,0.4675,0.4485691575745099,0.46749999999999997,0.4503666536624838,0.719109375,0.45778940521415895,400
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,time_mask,0.05,1.835482177734375,0.455,0.4402655345259701,0.45499999999999996,0.4402605488961616,0.702375,0.4343099600381123,400
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,time_mask,0.10,1.887177095413208,0.435,0.42939024715229657,0.43500000000000005,0.4252732502128486,0.6883359375,0.421918063962778,400
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-Baseline\Medformer\classification_PTB-XL-Partial-Baseline_Medformer_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_BaselinePartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,time_mask,0.20,1.9756019306182862,0.41,0.42340437056971664,0.41,0.4088352122253788,0.6771796875,0.4034911850135049,400
fft,MedformerFFT,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Partial-FFT-Concat\MedformerFFT\classification_PTB-XL-Partial-FFT-Concat_MedformerFFT_PTB-XL-Partial_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_FFTConcatPartial_seed41\checkpoint.pth,PTB-XL-Partial,./dataset/PTB-XL-Partial/,gaussian_noise,0.00,1.4425348377227782,0.4925,0.47527837286027685,0.49250000000000005,0.4760923682325989,0.7171249999999999,0.4395409438806735,400
