model_alias,model,checkpoint,data,root_path,perturbation,strength,loss,Accuracy,Precision,Recall,F1,AUROC,AUPRC,num_samples
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,gaussian_noise,0.00,0.9772106960600456,0.7310240202275601,0.6504317735183697,0.5992090156933176,0.6189584327200903,0.8938303785613175,0.6589759015004711,39550
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,gaussian_noise,0.01,0.9773169691855025,0.7306700379266751,0.6497107650824626,0.5987182182414799,0.6184008275067844,0.893808845066723,0.6589079524844154,39550
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,gaussian_noise,0.03,0.9771325237983096,0.7308723135271807,0.649943598364854,0.5986890323872807,0.6184343457982642,0.893784878542974,0.6588849016820446,39550
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,gaussian_noise,0.05,0.9762307447971195,0.7300126422250316,0.6482609569573035,0.597276050432613,0.6168488584161412,0.8937941017663451,0.6588415804674156,39550
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,gaussian_noise,0.10,0.9750102893621972,0.7303919089759797,0.648922168620035,0.5978132583172604,0.6172437208589516,0.8935213295489239,0.6579353787267859,39550
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,time_mask,0.00,0.9772106997252414,0.7310240202275601,0.6504317735183697,0.5992090156933176,0.6189584327200903,0.8938303785613175,0.6589759015004711,39550
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,time_mask,0.05,0.9965291413163717,0.7185840707964601,0.6313492030895772,0.593168389410301,0.6085937395481232,0.8878873652869487,0.6464348883406574,39550
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,time_mask,0.10,1.071366575026482,0.6906447534766119,0.5962689535457312,0.5839177749903578,0.589043632763637,0.8748290820318673,0.6208811828661034,39550
baseline,Medformer,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-Baseline\Medformer\classification_PTB-XL-Baseline_Medformer_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerBaseline_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,time_mask,0.20,1.356990534303764,0.6113274336283185,0.5286188713422774,0.5471774613681253,0.5325608720338448,0.8435380882603966,0.5602534917498272,39550
fft,MedformerFFT,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-FFT\MedformerFFT\classification_PTB-XL-FFT_MedformerFFT_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerFFT_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,gaussian_noise,0.00,1.002345769619369,0.7327180783817951,0.6517650407015576,0.6014436686339226,0.618222178805948,0.8952091994302087,0.6645049587946863,39550
fft,MedformerFFT,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-FFT\MedformerFFT\classification_PTB-XL-FFT_MedformerFFT_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerFFT_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,gaussian_noise,0.01,1.0025447123029592,0.7330214917825537,0.6521715793337765,0.6013447118656166,0.6180657526836854,0.8951701956576941,0.664333434368384,39550
fft,MedformerFFT,E:\deeplearning\ecg_time_frequency_dual_branch_classification\Medformer\Medformer-main\checkpoints\classification\PTB-XL-FFT\MedformerFFT\classification_PTB-XL-FFT_MedformerFFT_PTB-XL_ftM_sl96_ll48_pl96_dm128_nh8_el6_dl1_df256_fc1_ebtimeF_dtTrue_ServerFFT_seed41\checkpoint.pth,PTB-XL,./dataset/PTB-XL/,gaussian_noise,0.03,1.0045392673265767,0.7333501896333755,0.6532587673101549,0.5994090019681775,0.6155411787747967,0.894788640094818,0.6631762241074004,39550
